"trip_id","trip_start_timestamp","trip_end_timestamp","trip_seconds","trip_miles","pickup_community_area","dropoff_community_area","fare","tip","trip_total","shared_trip_authorized","trips_pooled"
"00106bb0fe64ffb59a63cc18adc420b78281ffb7",2019-06-30 23:15:00,2019-06-30 23:30:00,"732","7.0783099148","28","35","10","0","12.55","FALSE","1"
"00150b1b7ac06e5c63414935fb3b476f4f36289d",2019-06-30 23:15:00,2019-06-30 23:30:00,"298","0.5895140065","32","32","2.5","0","5.05","FALSE","1"
"001d256296424fa42636c4e0ec8f520a857face6",2019-06-30 22:45:00,2019-06-30 23:00:00,"1282","6.1788625012","29","8","32.5","0","36.1","FALSE","1"
"002099b9e30fe15cf7f2b211ac5dfab894e9f8dd",2019-06-30 23:15:00,2019-06-30 23:30:00,"776","5.3848275033","27","32","12.5","0","15.05","FALSE","1"
"00233408849e319370559c282251afe19e510044",2019-06-30 22:30:00,2019-06-30 22:45:00,"884","2.5992328498","6","6","7.5","1","11.05","FALSE","1"
"0024632c6332c89494b5bc3a936287593b59a321",2019-06-30 23:00:00,2019-06-30 23:15:00,"395","1.3358506791","3","3","5","0","7.55","FALSE","1"
"002a34fcb4fc0673c6e9b27e9da5540f7279761c",2019-06-30 23:00:00,2019-06-30 23:00:00,"638","5.1682100862","28","22","17.5","0","20.05","FALSE","1"
"005b648f176cb557901639ebdb2fbb080ceff6ab",2019-06-30 23:15:00,2019-06-30 23:30:00,"1216","5.9437787683","29","8","22.5","0","25.05","TRUE","2"
"00639d5b9d61f019d75e8b6714718eb0cd6d56ad",2019-06-30 22:45:00,2019-06-30 23:00:00,"355","0.9348346474","22","22","7.5","2","12.05","FALSE","1"
"00674680516d33de309a8d9b8fc12ebc41702128",2019-06-30 23:00:00,2019-06-30 23:15:00,"973","6.7057929903","28","6","22.5","0","25.05","FALSE","1"
"0075407df1cb4a732d7d330103ed6c556ddaabff",2019-06-30 22:15:00,2019-06-30 22:30:00,"777","3.4234174107","22","6","7.5","0","10.05","FALSE","1"
"007a4fd480f4928a53dde9268decc066c9a28dfa",2019-06-30 23:30:00,2019-06-30 23:30:00,"765","4.2884029395","7","8","10","3","15.55","FALSE","1"
"0085d37f986922fbd4576940f8b785fbdb8df06a",2019-06-30 22:00:00,2019-06-30 22:30:00,"1968","4.5656834105","29","28","15","3","21.05","FALSE","1"
"0091fd66a919c19f23b668a0d2a612fa267b60ae",2019-06-30 23:15:00,2019-06-30 23:30:00,"1162","4.8419373345","6","24","10","0","12.55","FALSE","1"
"00925e64da6e0926bb8be7faad882ac8387217db",2019-06-30 22:15:00,2019-06-30 22:30:00,"764","3.3694283554","8","7","7.5","0","10.05","FALSE","1"
"009bc96145244b768ea66ee0ff9f8722719f925b",2019-06-30 22:45:00,2019-06-30 23:00:00,"1115","4.238188184","3","21","5","1","8.55","TRUE","4"
"00b377bdc27743a00fbbf236db53145f4ac08e8a",2019-06-30 23:00:00,2019-06-30 23:15:00,"442","1.2059414284","8","32","7.5","2","12.05","FALSE","1"
"00d7f6d14399d1dad2b8ed4a3b810dca4e2d3f35",2019-06-30 22:15:00,2019-06-30 22:30:00,"566","7.0058262856","34","69","10","0","12.55","FALSE","1"
"00ea845b897f2990719ab2000f785870b48d923e",2019-06-30 22:15:00,2019-06-30 22:30:00,"556","1.4150517753","6","7","5","0","7.55","FALSE","1"
"00fa3c9ba84f693c16f5d5cef068502f966ab86e",2019-06-30 23:30:00,2019-06-30 23:30:00,"579","3.4882564198","24","28","7.5","0","10.05","FALSE","1"
"010f0df5e4d41326447c40dce6d3561f14cfd0ae",2019-06-30 23:15:00,2019-06-30 23:30:00,"290","0.9390309595","8","8","5","0","7.55","FALSE","1"
"012c4dd1d36f86b19e0a23616b7b45c4ae8ffdb4",2019-06-30 22:00:00,2019-06-30 22:00:00,"310","0.7748477407","6","6","5","0","7.55","FALSE","1"
"012cb682479982135effba81f8a84aa5465150e6",2019-06-30 23:15:00,2019-06-30 23:15:00,"535","1.4197221295","32","28","7.5","0","10.05","FALSE","1"
"0134a267f733ce539a7702d5674c44ec9f413977",2019-06-30 22:30:00,2019-06-30 22:45:00,"616","2.4815556739","6","8","7.5","0","10.05","FALSE","1"
"0134d118d91ede77bbb45d6b5123b69f1e3f6140",2019-06-30 23:00:00,2019-06-30 23:00:00,"406","1.2469133846","28","8","10","0","12.85","FALSE","1"
"013ae83bf478b585dd4cf65229ff1ddafc7b4d06",2019-06-30 23:00:00,2019-06-30 23:15:00,"1104","6.6449265834","5","28","12.5","0","15.05","FALSE","1"
"013caea21922d1155795edea7d2ea6c6d6a79d38",2019-06-30 23:15:00,2019-06-30 23:30:00,"1047","3.8450000648","7","6","10","0","12.55","FALSE","1"
"0144b372dd8a32bc12a2854985b96a6e1376ee9b",2019-06-30 22:45:00,2019-06-30 23:00:00,"687","2.8347005207","34","32","12.5","0","15.05","FALSE","1"
"0147f25fbf99ae427a4cec3ab9f2cf6176d458a4",2019-06-30 23:15:00,2019-06-30 23:30:00,"897","5.3326358465","28","6","20","1","23.55","FALSE","1"
"014d9aa260922fe1cc808b5621ac78be361a1a2d",2019-06-30 22:30:00,2019-06-30 23:00:00,"1907","6.4328006806","29","28","47.5","3","53.35","FALSE","1"
"0150696ac6a6598e1e9c9bb27f6ebbd4e1c042a1",2019-06-30 22:00:00,2019-06-30 22:00:00,"525","1.7813421353","8","8","5","5","12.55","FALSE","1"
"01599c339d39fc9be2507e9a9bb872f9d1560ab7",2019-06-30 22:45:00,2019-06-30 23:00:00,"1193","7.4954652639","29","33","32.5","0","40.05","FALSE","1"
"015b103873bac32cd7a9951e4de6b9dd5008b152",2019-06-30 23:30:00,2019-06-30 23:45:00,"1082","6.8593555162","28","6","12.5","0","15.05","FALSE","1"
"016731f72f910b087aa57e5a8472c9220031a39f",2019-06-30 23:45:00,2019-06-30 23:45:00,"500","1.4571370756","8","8","5","0","7.55","FALSE","1"
"0170eb167fb580ef248f5577a46953d0f09f4de3",2019-06-30 22:30:00,2019-06-30 22:45:00,"1263","12.2846172727","56","32","20","0","27.55","FALSE","1"
"0176f391aa51351cb4c8321f98fc99e383763928",2019-06-30 23:45:00,2019-06-30 23:45:00,"472","1.6942003105","7","8","5","0","7.55","FALSE","1"
"017b99c3a2b6d967a11a7db741e7f678e5bf77ec",2019-06-30 22:00:00,2019-06-30 22:15:00,"1216","5.1265638713","24","3","12.5","0","15.05","FALSE","1"
"017c57a33bcd680d68b55c17d0209a94bd590467",2019-06-30 22:15:00,2019-06-30 22:30:00,"559","5.0157157016","76","76","7.5","0","15.05","FALSE","1"
"0185ec744b17c13655629c72f29fc3bd32119e97",2019-06-30 23:15:00,2019-06-30 23:30:00,"973","4.2661960728","28","22","20","0","22.55","FALSE","1"
"018bfa4a56b2a1d944823309c79497514ee0588a",2019-06-30 22:00:00,2019-06-30 22:15:00,"494","4.0397541371","24","28","7.5","0","10.05","FALSE","1"
"018c393899847b6d966cd7b27b9ca19c67e2e795",2019-06-30 23:45:00,2019-06-30 23:45:00,"412","1.1799478358","8","32","5","2","9.55","FALSE","1"
"0191dfe77eca373cd50249078c5ada401c24589a",2019-06-30 23:00:00,2019-06-30 23:15:00,"819","2.9691231061","6","6","12.5","0","15.05","FALSE","1"
"0197db3490c28fbc67bde95b5e4a9cb6db822996",2019-06-30 23:00:00,2019-06-30 23:15:00,"1138","5.5189507021","29","32","25","0","27.55","FALSE","1"
"01985eeef240d5ec4b84b6a4dbf382d466577b2f",2019-06-30 22:30:00,2019-06-30 22:30:00,"554","2.6808000036","22","22","7.5","0","10.05","FALSE","1"
"019985a966935ae220c5cabe6f2adaeb2abcf93a",2019-06-30 22:00:00,2019-06-30 22:00:00,"802","5.3135004748","28","7","10","0","12.55","FALSE","1"
"01a265de9dd30d8a17ee3f59ef931853f9fed008",2019-06-30 22:15:00,2019-06-30 22:30:00,"490","1.5446110742","28","32","5","0","7.55","FALSE","1"
"01bb9b082afe6b3710912a8d2c877c76f8a34fa6",2019-06-30 22:15:00,2019-06-30 22:45:00,"1459","15.1236429923","76","24","25","0","32.55","FALSE","1"
"01bd9991ed1e04c0117a8557d12f3887410ee830",2019-06-30 22:15:00,2019-06-30 22:30:00,"533","2.2953325376","77","6","5","1","8.55","FALSE","1"
"01bf43f4fd05bfc9862d7d258256e5f950412d4b",2019-06-30 23:00:00,2019-06-30 23:15:00,"494","1.67865747","28","32","10","0","12.55","FALSE","1"
"01d00be0ef7f1de14e7b6a17ea3341af61c3ca30",2019-06-30 22:30:00,2019-06-30 22:45:00,"460","1.5818911292","7","7","5","0","7.55","FALSE","1"
"01d32fee0c811c08844d960897c69665ffc02ce1",2019-06-30 22:45:00,2019-06-30 23:00:00,"1192","7.9574623786","28","3","15","0","17.59","FALSE","1"
"01ed291847082b9130dd22ac6418d06952182538",2019-06-30 23:30:00,2019-06-30 23:45:00,"1394","8.3468450435","28","6","32.5","0","35.05","FALSE","1"
"01ed72c031d776cce8a9509694406ef0c4648e8e",2019-06-30 22:30:00,2019-06-30 22:45:00,"973","4.2482531885","29","32","17.5","0","20.05","FALSE","1"
"020cf02590b15abf737e792431d53090070ccf7f",2019-06-30 23:00:00,2019-06-30 23:00:00,"600","1.264297","8","8","7.5","0","8.22","FALSE","1"
"0211cd8869703d2d4ca18d3bc8435097b3d1337b",2019-06-30 23:45:00,2019-07-01 00:00:00,"779","2.6142637109","8","33","2.5","0","5.05","TRUE","1"
"0212fb947902f0e0335c536a4070b58d4179ed76",2019-06-30 22:30:00,2019-06-30 22:45:00,"524","1.635383635","6","6","5","0","7.55","FALSE","1"
"0221d85fef7b177e484dc3ff6eecaba433238d1e",2019-06-30 23:00:00,2019-06-30 23:15:00,"599","1.2238840122","8","8","7.5","0","10.05","FALSE","1"
"02224b9bc95d8e30be307ac4ea0082de79181535",2019-06-30 22:15:00,2019-06-30 22:30:00,"309","1.2946523377","7","6","5","0","7.55","FALSE","1"
"0228ba0ededf665ac433d31cf9728a3168023422",2019-06-30 23:15:00,2019-06-30 23:30:00,"626","2.6203579361","7","8","7.5","0","10.05","FALSE","1"
"022cac169c09e79e5afec8fdd30c02e0e7f704c2",2019-06-30 23:30:00,2019-06-30 23:45:00,"447","2.5616950276","30","30","5","0","7.55","FALSE","1"
"02380956e8a4ea1de2f79a75cf99f430d58e4540",2019-06-30 22:00:00,2019-06-30 22:15:00,"1094","4.1489952401","22","6","10","0","12.55","FALSE","1"
"0248a2665ef92bb7a9f19515f6f564f50e26e9a2",2019-06-30 23:45:00,2019-07-01 00:00:00,"359","1.3920071485","28","31","5","0","7.55","FALSE","1"
"024c6d7cfc7147f1ee3c6bec4bfb6cd4579bd3d7",2019-06-30 23:00:00,2019-06-30 23:00:00,"415","1.7306640717","28","8","10","0","12.55","FALSE","1"
"024c90cdb8522ae97f68285654a9efecea67221f",2019-06-30 23:30:00,2019-06-30 23:45:00,"685","1.8249604043","7","6","7.5","0","10.05","FALSE","1"
"025e5cfdd8853dc91e3392c02fa3338550dd8985",2019-06-30 22:45:00,2019-06-30 23:00:00,"1027","4.8287344701","24","3","12.5","0","15.05","FALSE","1"
"0275eb607ef3e5077eabae1cc93bcd9c2478dfc6",2019-06-30 23:00:00,2019-06-30 23:15:00,"1007","4.8179780757","6","28","15","0","17.55","FALSE","1"
"02789c0cb8ffa3d3ca7d16ae210ebf8562b51904",2019-06-30 22:15:00,2019-06-30 22:15:00,"436","1.4443542858","8","28","5","0","7.55","TRUE","1"
"02848ce11ba189e99745523a8cdfb04bc7a81886",2019-06-30 22:30:00,2019-06-30 22:45:00,"768","4.2812792304","29","32","32.5","0","35.35","FALSE","1"
"029fcc75ad406336b6168efc7c7ce600b5c46913",2019-06-30 22:15:00,2019-06-30 22:30:00,"786","2.5714718369","1","77","10","0","12.55","FALSE","1"
"02a2a1da37d2b0259c157fab3357d2e2151c1f21",2019-06-30 23:00:00,2019-06-30 23:00:00,"184","0.3748928551","29","29","7.5","3","13.05","FALSE","1"
"02a4fe93664a711ddfb0e1795cb54aeda383f109",2019-06-30 22:45:00,2019-06-30 23:00:00,"873","5.5662590995","1","7","10","0","12.55","FALSE","1"
"02ab152c610792c7215726dca242458895e9ebbb",2019-06-30 22:45:00,2019-06-30 23:00:00,"660","4.507924","8","35","7.5","0","8.22","TRUE","1"
"02b83aac9ea720f52d2b24f631334569f83d8189",2019-06-30 22:30:00,2019-06-30 22:45:00,"989","5.2766936289","30","28","22.5","3","29.66","FALSE","1"
"02d03c83b6294be42fe37c22f833ac4edb9ece1b",2019-06-30 22:15:00,2019-06-30 22:30:00,"1390","4.5404791053","29","24","22.5","0","25.05","FALSE","1"
"02d67c22f7a4a488b65f2c8cfa349317741320b0",2019-06-30 22:30:00,2019-06-30 22:45:00,"324","2.2134173733","28","24","5","0","7.55","FALSE","1"
"02dca644fce6492a6b6a95c2231d0f8f8f3caeb2",2019-06-30 22:45:00,2019-06-30 23:00:00,"567","1.9708349347","32","8","7.5","1","11.05","FALSE","1"
"02dd7d3a2b9c9091fcedb4306c60a9195c0507d1",2019-06-30 22:30:00,2019-06-30 22:45:00,"1112","4.5732915631","29","22","22.5","0","25.05","FALSE","1"
